m#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
73,Tuesday Jun 22,boxscore,BOS,@,TBR,W,9,5,11,44-29,1,up 1.5,Hernandez,Fairbanks,,4:21,N,12994,1.87,+,
74,Wednesday Jun 23,boxscore,BOS,@,TBR,L,2,8,,44-30,1,up 0.5,Hill,Richards,,3:31,N,9088,1.91,-,
75,Thursday Jun 24,boxscore,BOS,@,TBR,L-wo,0,1,,44-31,2,0.5,Feyereisen,Barnes,,3:02,N,10961,1.95,--,
76,Friday Jun 25,boxscore,BOS,,NYY,W,5,3,,45-31,2,0.5,Whitlock,German,Barnes,3:37,N,36869,1.69,+,
77,Saturday Jun 26,boxscore,BOS,,NYY,W,4,2,,46-31,2,0.5,Eovaldi,Montgomery,Ottavino,3:22,N,36857,1.68,++,
78,Sunday Jun 27,boxscore,BOS,,NYY,W,9,2,,47-31,1,up 0.5,Rodriguez,Cole,,3:09,D,34504,1.63,+++,
79,Monday Jun 28,boxscore,BOS,,KCR,W,6,5,,48-31,1,up 1.0,Sawamura,Staumont,Barnes,3:02,N,22766,1.42,++++,
80,Tuesday Jun 29,boxscore,BOS,,KCR,W,7,6,,49-31,1,up 2.0,Rios,Brentz,Barnes,3:31,N,25180,1.38,+++++,
81,Wednesday Jun 30,boxscore,BOS,,KCR,W,6,2,,50-31,1,up 3.0,Perez,Minor,,2:55,N,24616,1.36,++++++,
82,Thursday Jul 1,boxscore,BOS,,KCR,W,15,1,,51-31,1,up 3.5,Eovaldi,Bubic,,3:08,D,27913,1.28,+++++++,
83,Friday Jul 2,boxscore,BOS,@,OAK,W,3,2,10,52-31,1,up 4.5,Barnes,Trivino,Ottavino,3:04,N,32304,1.25,++++++++,
84,Saturday Jul 3,boxscore,BOS,@,OAK,L-wo,6,7,12,52-32,1,up 4.5,Wendelken,Andriese,,4:24,D,16297,1.18,-,
85,Sunday Jul 4,boxscore,BOS,@,OAK,W,1,0,,53-32,1,up 4.5,Pivetta,Kaprielian,Barnes,2:52,D,13070,1.29,+,
86,Monday Jul 5,boxscore,BOS,@,LAA,W,5,4,,54-32,1,up 4.5,Perez,Suarez,Ottavino,3:46,N,38201,1.18,++,
87,Tuesday Jul 6,boxscore,BOS,@,LAA,L,3,5,,54-33,1,up 4.0,Ohtani,Eovaldi,Iglesias,2:54,N,28689,1.13,-,
88,Wednesday Jul 7,boxscore,BOS,@,LAA,L,4,5,,54-34,1,up 2.5,Heaney,Rodriguez,Iglesias,2:55,D,20001,1.12,--,
